2026-03-01 10:33:25 | INFO | laptopguardian | sample cpu=4.5 ram=87.9 temp=-1.0 risk=3 (warn)
2026-03-01 10:33:30 | INFO | laptopguardian | sample cpu=2.3 ram=88.0 temp=-1.0 risk=3 (warn)
2026-03-01 10:33:35 | INFO | laptopguardian | sample cpu=0.8 ram=87.9 temp=-1.0 risk=3 (warn)
2026-03-01 10:33:41 | INFO | laptopguardian | sample cpu=5.3 ram=87.9 temp=-1.0 risk=3 (warn)
2026-03-01 10:33:46 | INFO | laptopguardian | sample cpu=23.3 ram=87.8 temp=-1.0 risk=3 (warn)
2026-03-01 10:33:51 | INFO | laptopguardian | sample cpu=4.4 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:33:57 | INFO | laptopguardian | sample cpu=11.6 ram=87.8 temp=-1.0 risk=3 (warn)
2026-03-01 10:34:02 | INFO | laptopguardian | sample cpu=17.2 ram=87.2 temp=-1.0 risk=2 (warn)
2026-03-01 10:34:07 | INFO | laptopguardian | sample cpu=5.1 ram=87.2 temp=-1.0 risk=2 (warn)
2026-03-01 10:34:13 | INFO | laptopguardian | sample cpu=7.4 ram=87.2 temp=-1.0 risk=2 (warn)
2026-03-01 10:34:18 | INFO | laptopguardian | sample cpu=10.0 ram=87.2 temp=-1.0 risk=2 (warn)
2026-03-01 10:34:23 | INFO | laptopguardian | sample cpu=5.4 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:34:28 | INFO | laptopguardian | sample cpu=0.8 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:34:33 | INFO | laptopguardian | sample cpu=1.9 ram=87.6 temp=-1.0 risk=3 (warn)
2026-03-01 10:34:39 | INFO | laptopguardian | sample cpu=12.9 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:34:44 | INFO | laptopguardian | sample cpu=3.8 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:34:49 | INFO | laptopguardian | sample cpu=17.1 ram=87.5 temp=-1.0 risk=2 (warn)
2026-03-01 10:34:54 | INFO | laptopguardian | sample cpu=3.9 ram=87.4 temp=-1.0 risk=2 (warn)
2026-03-01 10:35:00 | INFO | laptopguardian | sample cpu=7.9 ram=87.4 temp=-1.0 risk=2 (warn)
2026-03-01 10:35:05 | INFO | laptopguardian | sample cpu=8.5 ram=87.6 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:10 | INFO | laptopguardian | sample cpu=2.9 ram=87.5 temp=-1.0 risk=2 (warn)
2026-03-01 10:35:15 | INFO | laptopguardian | sample cpu=4.0 ram=87.6 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:20 | INFO | laptopguardian | sample cpu=3.5 ram=87.6 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:25 | INFO | laptopguardian | sample cpu=7.0 ram=87.6 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:31 | INFO | laptopguardian | sample cpu=5.9 ram=87.9 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:36 | INFO | laptopguardian | sample cpu=13.9 ram=87.9 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:41 | INFO | laptopguardian | sample cpu=3.9 ram=88.0 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:46 | INFO | laptopguardian | sample cpu=7.3 ram=88.0 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:52 | INFO | laptopguardian | sample cpu=3.9 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:35:57 | INFO | laptopguardian | sample cpu=4.6 ram=87.6 temp=-1.0 risk=3 (warn)
2026-03-01 10:36:02 | INFO | laptopguardian | sample cpu=4.0 ram=87.6 temp=-1.0 risk=3 (warn)
2026-03-01 10:36:07 | INFO | laptopguardian | sample cpu=4.0 ram=87.5 temp=-1.0 risk=2 (warn)
2026-03-01 10:36:12 | INFO | laptopguardian | sample cpu=3.9 ram=87.2 temp=-1.0 risk=2 (warn)
2026-03-01 10:36:17 | INFO | laptopguardian | sample cpu=6.6 ram=87.3 temp=-1.0 risk=2 (warn)
2026-03-01 10:36:22 | INFO | laptopguardian | sample cpu=8.5 ram=87.3 temp=-1.0 risk=2 (warn)
2026-03-01 10:36:28 | INFO | laptopguardian | sample cpu=3.5 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:36:33 | INFO | laptopguardian | sample cpu=2.8 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:36:38 | INFO | laptopguardian | sample cpu=5.0 ram=87.7 temp=-1.0 risk=3 (warn)
2026-03-01 10:36:43 | INFO | laptopguardian | sample cpu=2.8 ram=87.6 temp=-1.0 risk=3 (warn)
2026-03-01 10:36:48 | INFO | laptopguardian | sample cpu=3.8 ram=87.5 temp=-1.0 risk=2 (warn)
2026-03-01 10:36:53 | INFO | laptopguardian | sample cpu=9.8 ram=87.5 temp=-1.0 risk=2 (warn)
2026-03-01 10:36:59 | INFO | laptopguardian | sample cpu=3.6 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:04 | INFO | laptopguardian | sample cpu=5.4 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:09 | INFO | laptopguardian | sample cpu=2.8 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:14 | INFO | laptopguardian | sample cpu=5.1 ram=86.6 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:19 | INFO | laptopguardian | sample cpu=3.5 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:24 | INFO | laptopguardian | sample cpu=9.0 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:29 | INFO | laptopguardian | sample cpu=3.9 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:34 | INFO | laptopguardian | sample cpu=3.9 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:39 | INFO | laptopguardian | sample cpu=5.9 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:45 | INFO | laptopguardian | sample cpu=10.7 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:50 | INFO | laptopguardian | sample cpu=2.7 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:37:55 | INFO | laptopguardian | sample cpu=1.6 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:00 | INFO | laptopguardian | sample cpu=3.9 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:05 | INFO | laptopguardian | sample cpu=3.2 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:10 | INFO | laptopguardian | sample cpu=3.9 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:15 | INFO | laptopguardian | sample cpu=7.5 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:20 | INFO | laptopguardian | sample cpu=15.8 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:25 | INFO | laptopguardian | sample cpu=10.7 ram=86.4 temp=-1.0 risk=1 (warn)
2026-03-01 10:38:31 | INFO | laptopguardian | sample cpu=4.7 ram=86.6 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:36 | INFO | laptopguardian | sample cpu=10.1 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:41 | INFO | laptopguardian | sample cpu=8.7 ram=86.6 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:46 | INFO | laptopguardian | sample cpu=6.7 ram=86.6 temp=-1.0 risk=2 (warn)
